label_name,category
Regio anterior carpi ,direction – general anatomy
Regio carpea anterior,direction – general anatomy
Regio posterior carpi ,direction – general anatomy
Regio carpea posterior,direction – general anatomy
Foveola radialis,soft tissue structure – musculoskeletal system
Regiones manus ,soft tissue structure – musculoskeletal system
Regio manualis ,soft tissue structure – musculoskeletal system
Regio metacarpea ,soft tissue structure – musculoskeletal system
Regio metacarpi,soft tissue structure – musculoskeletal system
Dorsum manus ,soft tissue structure – musculoskeletal system
Regio dorsalis manus,soft tissue structure – musculoskeletal system
Palma Regio palmaris,soft tissue structure – musculoskeletal system
Eminentia thenaris Thenar,soft tissue structure – musculoskeletal system
Eminentia hypothenaris Hypothenar,soft tissue structure – musculoskeletal system
Regiones digitorum manus,soft tissue structure – musculoskeletal system
Facies palmares digitorum manus,soft tissue structure – musculoskeletal system
Facies dorsales digitorum manus,soft tissue structure – musculoskeletal system
Spatia interdigitalia manus ,soft tissue structure – musculoskeletal system
Spatia interdigitalia I-IV manus,soft tissue structure – musculoskeletal system
Regiones membri inferioris,direction – general anatomy
Regio glutea ,soft tissue structure – musculoskeletal system
Regio glutealis ,soft tissue structure – musculoskeletal system
Sulcus gluteus ,soft tissue structure – musculoskeletal system
Sulcus glutealis,soft tissue structure – musculoskeletal system
Regio coxalis ,soft tissue structure – musculoskeletal system
Regio coxae,soft tissue structure – musculoskeletal system
Regio femoralis ,soft tissue structure – musculoskeletal system
Regio femoris,soft tissue structure – musculoskeletal system
Regio anterior femoris,direction – general anatomy
Trigonum femorale,soft tissue structure – musculoskeletal system
Regio posterior femoris ,direction – general anatomy
Regio femoralis posterior,direction – general anatomy
Regio genualis ,soft tissue structure – musculoskeletal system
Regio genus,soft tissue structure – musculoskeletal system
Regio anterior genus ,direction – general anatomy
Regio genualis anterior,direction – general anatomy
Regio posterior genus ,direction – general anatomy
Regio genualis posterior,direction – general anatomy
Fossa poplitea,soft tissue structure – musculoskeletal system
Regio cruralis ,soft tissue structure – musculoskeletal system
Regio cruris Leg region Leg region,soft tissue structure – musculoskeletal system
Regio anterior cruris ,direction – general anatomy
Regio cruralis anterior,direction – general anatomy
Regio posterior cruris ,direction – general anatomy
Regio cruralis posterior,direction – general anatomy
Regio suralis Regio surae,soft tissue structure – musculoskeletal system
Regio anterior tali ,direction – general anatomy
Regio talocruralis anterior,direction – general anatomy
Regio posterior tali ,direction – general anatomy
Regio talocruralis posterior,direction – general anatomy
Regio retromalleolaris lateralis ,direction – general anatomy
Regio retromalleolaris fibularis,soft tissue structure – musculoskeletal system
Regio retromalleolaris medialis ,direction – general anatomy
Regio retromalleolaris tibialis,soft tissue structure – musculoskeletal system
Regiones pedis Regio pedalis,soft tissue structure – musculoskeletal system
Regio calcanea Regio calcis,soft tissue structure – musculoskeletal system
Arcus longitudinalis pedis,soft tissue structure – musculoskeletal system
Pars lateralis arcus longitudinalis pedis,direction – general anatomy
Pars medialis arcus longitudinalis pedis,direction – general anatomy
Arcus transversus proximalis pedis,direction – general anatomy
Arcus transversus distalis pedis,direction – general anatomy
Margo lateralis pedis ,direction – general anatomy
Margo fibularis pedis,soft tissue structure – musculoskeletal system
Margo medialis pedis ,direction – general anatomy
Margo tibialis pedis,soft tissue structure – musculoskeletal system
Regio metatarsea ,soft tissue structure – musculoskeletal system
Regio metatarsi,soft tissue structure – musculoskeletal system
Eminentia hallucis,soft tissue structure – musculoskeletal system
Regiones digitorum pedis,soft tissue structure – musculoskeletal system
Facies plantares digitorum pedis,soft tissue structure – musculoskeletal system
Facies dorsales digitorum pedis,soft tissue structure – musculoskeletal system
Spatia interdigitalia pedis ,soft tissue structure – musculoskeletal system
Spatia interdigitalia I-IV pedis,soft tissue structure – musculoskeletal system
Neurocranium,soft tissue structure – musculoskeletal system
Viscerocranium,soft tissue structure – musculoskeletal system
Ossa faciei,bone – skeletal system
Chondrocranium,soft tissue structure – musculoskeletal system
Desmocranium,soft tissue structure – musculoskeletal system
Skeleton membrorum superiorum,direction – general anatomy
Cingulum pectorale Cingulum membrorum superiorum,direction – general anatomy
Skeleton partis liberae membri superioris ,direction – general anatomy
Skeleton membri superioris liberi,direction – general anatomy
Skeleton membrorum inferiorum,direction – general anatomy
Cingulum pelvicum ,soft tissue structure – musculoskeletal system
Cingulum membrorum inferiorum,direction – general anatomy
Skeleton partis liberae membri inferioris ,direction – general anatomy
Skeleton membri inferioris liberi,direction – general anatomy
Os membranaceum,bone – skeletal system
Os endochondrale,bone – skeletal system
Os longum,bone – skeletal system
Os breve,bone – skeletal system
Os planum,bone – skeletal system
Os irregulare,bone – skeletal system
Os pneumaticum,bone – skeletal system
Os sesamoideum,bone – skeletal system
Pars ossea ossis,soft tissue structure – musculoskeletal system
Substantia compacta ,soft tissue structure – musculoskeletal system
Textus osseus compactus,soft tissue structure – musculoskeletal system
Pars cartilaginea ossis,soft tissue structure – musculoskeletal system
Cartilago articularis,cartilage – skeletal system
Pars membranacea ossis,soft tissue structure – musculoskeletal system
Periosteum,soft tissue structure – musculoskeletal system
Perichondrium,soft tissue structure – musculoskeletal system
Cavitas medullaris ossis ,soft tissue structure – musculoskeletal system
Pars medullaris ossis ,soft tissue structure – musculoskeletal system
Medullary cavity ,soft tissue structure – musculoskeletal system
Endosteum,soft tissue structure – musculoskeletal system
Medulla ossis,soft tissue structure – musculoskeletal system
Medulla flava ossis,soft tissue structure – musculoskeletal system
Medulla rubra ossis,soft tissue structure – musculoskeletal system
Diaphysis,soft tissue structure – musculoskeletal system
Metaphysis,soft tissue structure – musculoskeletal system
Epiphysis,soft tissue structure – musculoskeletal system
Cartilago epiphysialis,cartilage – skeletal system
Lamina epiphysialis,soft tissue structure – musculoskeletal system
Linea epiphysialis,soft tissue structure – musculoskeletal system
Apophysis,soft tissue structure – musculoskeletal system
Facies articularis,soft tissue structure – musculoskeletal system
Fossa articularis,soft tissue structure – musculoskeletal system
(Caput articulare),soft tissue structure – musculoskeletal system
Foramen nutricium ,soft tissue structure – musculoskeletal system
Foramen nutriens ,soft tissue structure – musculoskeletal system
Nutrient foramen,soft tissue structure – musculoskeletal system
Canalis nutricius ,soft tissue structure – musculoskeletal system
Canalis nutriens ,soft tissue structure – musculoskeletal system
Nutrient canal ,soft tissue structure – musculoskeletal system
Centra ossificationum,soft tissue structure – musculoskeletal system
Centrum primarium ossificationis,soft tissue structure – musculoskeletal system
Centrum secundarium ossificationis,soft tissue structure – musculoskeletal system
Norma frontalis cranii ,soft tissue structure – musculoskeletal system
Norma facialis cranii ,soft tissue structure – musculoskeletal system
Norma occipitalis cranii,soft tissue structure – musculoskeletal system
Norma lateralis cranii,direction – general anatomy
Norma inferior cranii ,direction – general anatomy
Norma basalis cranii ,soft tissue structure – musculoskeletal system
Pericranium Periosteum ,soft tissue structure – musculoskeletal system
Pericranium Pericranium,soft tissue structure – musculoskeletal system
Frons cranii,soft tissue structure – musculoskeletal system
Occiput cranii,soft tissue structure – musculoskeletal system
Vertex cranii,soft tissue structure – musculoskeletal system
Nasion,soft tissue structure – musculoskeletal system
